LCLid,total_daily,total_weekly,total_monthly,total_annual,min_cons,min_time,max_cons,max_time,peak_duration,avg_weekday,avg_weekend,avg_monthly,avg_seasonal,load_factor,ramp_rate,activation_hour,deactivation_hour,load_shift,occupancy_rate,variance,std_dev,weekends_impact,annual_trend,autocorr,crest_factor,kmeans_cluster,dbscan_cluster
MAC004612,586.442,586.442,586.442,586.442,0.0,14:30:00,0.686,00:30:00,14,0.06770150383747461,0.06438261217948718,83.77742857142857,0.06545073976554087,0.09757695698169312,0.027765867579908707,11.51086956521739,6.021739130434782,0.022667465344059563,0.8967391304347826,0.004033528435719927,0.06351006562522138,0.9618275384513616,,0.28712106884502026,7.434709837509505,0,-1
MAC004613,5250.977000299999,5250.977000299999,5250.9770003,5250.977000299999,0.049,00:00:00,2.2260001,10:30:00,2,0.19073735191988128,0.17415759561803434,262.548850015,0.18473482176506806,0.08374203429530015,0.07826885117864067,11.550084889643463,7.169779286926995,0.15351331747710664,0.8998302207130731,0.03123328685178467,0.17672941705269293,0.9342524409439651,,0.3539943781196342,8.665955353228316,0,-1
MAC004614,6559.051000199999,6559.0510002,6559.0510002,6559.0510002,0.025,15:30:00,2.941,21:00:00,48,0.22820977325931066,0.24238777387776397,327.95255001,0.23535291834167388,0.07802851979347541,0.09277138663447813,15.29598662207358,8.518394648829432,0.04533765049368879,0.8996655518394648,0.13953194058266383,0.373539744314663,1.0563092323725667,,0.33585761086182225,6.708582604134846,2,-1
MAC004615,1869.4379999999999,1869.4379999999999,1869.4379999999999,1869.4379999999999,0.008,16:00:00,1.334,19:00:00,9,0.06367255829162811,0.06924252452205881,93.47189999999999,0.06342351290794926,0.04894275175826421,0.034290514110083783,14.237458193979933,4.453177257525083,0.0386917606225477,0.8996655518394648,0.008616477265465147,0.09282498190393115,1.0605439734509505,,0.2555358388972307,11.754826890202002,0,-1
MAC004616,7049.2349995,7049.2349995,7049.2349995,7049.2349994999995,0.038,07:30:00,2.415,20:30:00,36,0.2293570456474326,0.2898143617143825,352.461749975,0.24358014700188219,0.10213933403288279,0.09658340622178807,16.79096989966555,8.356187290969899,0.10998782639452945,0.8996655518394648,0.0660664458723735,0.2570339391449571,1.1749282060304063,,0.31482721792871887,6.779096138412049,2,-1
MAC004617,4068.3149997,4068.3149997,4068.3149996999996,4068.3149997,0.007,06:00:00,1.783,17:30:00,9,0.14237920948695504,0.14240531223358915,203.415749985,0.13914742137924943,0.07969141594217419,0.056146868757638045,15.247491638795987,7.326086956521739,0.04595072960992071,0.8996655518394648,0.021806345267949303,0.1476697168276194,1.0021424455155994,,0.4468658403815098,8.700657387459664,0,-1
MAC004618,6436.228998799999,6436.228998799999,6436.228998800001,6436.2289988,0.024,09:30:00,2.77,18:00:00,9,0.22480342069603929,0.22441032530871932,321.81144994,0.22076532904583587,0.08129695864448551,0.11869793557033005,16.578595317725753,6.436454849498328,0.22393000247566944,0.8996655518394648,0.08360079785015036,0.28913802560394986,0.9965329213527396,,0.39807364020084723,7.558337694494997,2,-1
MAC004619,4406.7979986,4406.7979986,4406.797998600001,4406.7979986,0.015,01:00:00,2.0009999,19:30:00,23,0.1418090306408096,0.18844000047246567,220.33989993000006,0.15254032112983965,0.07721671611916267,0.06978415138849747,19.00836120401338,6.615384615384615,0.050676936740567086,0.8996655518394648,0.03917778064702246,0.19793377843870524,1.2129094770430426,,0.49340962134431693,7.969016206104046,0,-1
MAC004624,600.332,600.332,600.332,600.3320000000001,0.0,03:00:00,0.873,13:00:00,2,0.036776272588037846,0.030866013071895435,46.17938461538461,0.03546085521326792,0.04008309169919077,0.010162285048091819,14.175487465181059,4.233983286908078,0.008928473049958145,0.9108635097493036,0.0016035055112211308,0.040043794915331526,0.8820741194229775,,0.4385007337507298,16.416591829855882,0,-1
MAC004625,1622.2180001,1622.2180001,1622.2180001,1622.2180001,0.011,11:30:00,1.534,11:00:00,5,0.057685120524443086,0.05407659314950981,81.11090000499999,0.057654898661190876,0.036938365805356074,0.023552081884866172,14.152173913043478,4.87123745819398,0.011888546655013411,0.8996655518394648,0.003618322221723477,0.060152491400801325,0.9543469405355816,,0.2561446966418422,18.563019609447213,0,-1
